IOC,Type,Source,Description,Criticality,ConnectionType,USOM_ID,Date,AddedAt_UTC
108.187.42.63,ip,SB,MC,8,OT,1109822,2026-05-05 07:49:16.559414,2026-05-21 11:13:29
154.82.81.192,ip,SB,MC,8,OT,1109820,2026-05-05 07:49:16.559414,2026-05-21 11:13:29
192.163.167.14,ip,SB,MC,8,OT,1109818,2026-05-05 07:49:16.559414,2026-05-21 11:13:29
207.56.138.28,ip,SB,MC,8,OT,1109816,2026-05-05 07:49:16.559414,2026-05-21 11:13:29
192.229.115.229,ip,SB,MC,8,OT,1109802,2026-05-05 07:49:16.559414,2026-05-21 11:13:29
108.187.37.85,ip,SB,MC,8,OT,1109800,2026-05-05 07:49:16.559414,2026-05-21 11:13:29
45.32.108.178,ip,SB,MC,8,OT,1109798,2026-05-05 07:49:16.559414,2026-05-21 11:13:29
45.192.219.60,ip,SB,MC,8,OT,1109788,2026-05-05 07:49:16.559414,2026-05-21 11:13:29
192.238.205.47,ip,SB,MC,8,OT,1109786,2026-05-05 07:49:16.559414,2026-05-21 11:13:29
207.56.119.216,ip,SB,MC,8,OT,1109784,2026-05-05 07:49:16.559414,2026-05-21 11:13:29
91.98.233.195,ip,SO,PH,4,PH,1109590,2026-05-04 14:25:58.53169,2026-05-21 11:13:29
217.60.245.90,ip,SB,MI,8,OT,1109404,2026-05-04 08:20:33.048354,2026-05-21 11:13:29
82.26.74.104,ip,SB,MI,8,OT,1109402,2026-05-04 08:19:55.080438,2026-05-21 11:13:29
